"pathwayRampId","inPathway","total"
"RAMP_P_000000703",33,12960
"RAMP_P_000000704",1,12960
"RAMP_P_000000705",6,12960
"RAMP_P_000000706",4,12960
"RAMP_P_000000707",23,12960
"RAMP_P_000000708",27,12960
"RAMP_P_000000709",0,12960
"RAMP_P_000000710",14,12960
"RAMP_P_000000711",30,12960
"RAMP_P_000000712",0,12960
"RAMP_P_000000713",4,12960
"RAMP_P_000000714",56,12960
"RAMP_P_000000715",5,12960
"RAMP_P_000000716",33,12960
"RAMP_P_000000717",0,12960
"RAMP_P_000000718",4,12960
"RAMP_P_000000719",56,12960
"RAMP_P_000000720",5,12960
"RAMP_P_000000721",8,12960
"RAMP_P_000000722",5,12960
"RAMP_P_000000723",9,12960
"RAMP_P_000000724",20,12960
"RAMP_P_000000725",1,12960
"RAMP_P_000000726",30,12960
"RAMP_P_000000727",30,12960
"RAMP_P_000000728",8,12960
"RAMP_P_000000729",59,12960
"RAMP_P_000000730",10,12960
"RAMP_P_000000731",31,12960
"RAMP_P_000000732",24,12960
"RAMP_P_000000733",6,12960
"RAMP_P_000000734",13,12960
"RAMP_P_000000735",32,12960
"RAMP_P_000000736",1,12960
"RAMP_P_000000737",9,12960
"RAMP_P_000000738",130,12960
"RAMP_P_000000739",44,12960
"RAMP_P_000000740",60,12960
"RAMP_P_000000741",102,12960
"RAMP_P_000000742",17,12960
"RAMP_P_000000743",67,12960
"RAMP_P_000000744",25,12960
"RAMP_P_000000745",19,12960
"RAMP_P_000000746",67,12960
"RAMP_P_000000747",41,12960
"RAMP_P_000000748",21,12960
"RAMP_P_000000749",64,12960
"RAMP_P_000000750",82,12960
"RAMP_P_000000751",37,12960
"RAMP_P_000000752",17,12960
"RAMP_P_000000753",5,12960
"RAMP_P_000000754",299,12960
"RAMP_P_000000755",29,12960
"RAMP_P_000000756",8,12960
"RAMP_P_000000757",6,12960
"RAMP_P_000000758",4,12960
"RAMP_P_000000759",11,12960
"RAMP_P_000000760",66,12960
"RAMP_P_000000761",133,12960
"RAMP_P_000000762",17,12960
"RAMP_P_000000763",17,12960
"RAMP_P_000000764",4,12960
"RAMP_P_000000765",0,12960
"RAMP_P_000000766",16,12960
"RAMP_P_000000767",45,12960
"RAMP_P_000000768",13,12960
"RAMP_P_000000769",101,12960
"RAMP_P_000000770",159,12960
"RAMP_P_000000771",23,12960
"RAMP_P_000000772",12,12960
"RAMP_P_000000773",24,12960
"RAMP_P_000000774",17,12960
"RAMP_P_000000775",18,12960
"RAMP_P_000000776",7,12960
"RAMP_P_000000777",36,12960
"RAMP_P_000000778",93,12960
"RAMP_P_000000779",63,12960
"RAMP_P_000000780",46,12960
"RAMP_P_000000781",6,12960
"RAMP_P_000000782",74,12960
"RAMP_P_000000783",38,12960
"RAMP_P_000000784",49,12960
"RAMP_P_000000785",8,12960
"RAMP_P_000000786",31,12960
"RAMP_P_000000787",12,12960
"RAMP_P_000000788",5,12960
"RAMP_P_000000789",46,12960
"RAMP_P_000000790",24,12960
"RAMP_P_000000791",4,12960
"RAMP_P_000000792",103,12960
"RAMP_P_000000793",23,12960
"RAMP_P_000000794",11,12960
"RAMP_P_000000795",32,12960
"RAMP_P_000000796",12,12960
"RAMP_P_000000797",115,12960
"RAMP_P_000000798",12,12960
"RAMP_P_000000799",8,12960
"RAMP_P_000000800",237,12960
"RAMP_P_000000801",43,12960
"RAMP_P_000000802",21,12960
"RAMP_P_000000803",9,12960
"RAMP_P_000000804",18,12960
"RAMP_P_000000805",6,12960
"RAMP_P_000000806",2,12960
"RAMP_P_000000807",38,12960
"RAMP_P_000000808",93,12960
"RAMP_P_000000809",49,12960
"RAMP_P_000000810",58,12960
"RAMP_P_000000811",67,12960
"RAMP_P_000000812",12,12960
"RAMP_P_000000813",9,12960
"RAMP_P_000000814",44,12960
"RAMP_P_000000815",8,12960
"RAMP_P_000000816",34,12960
"RAMP_P_000000817",19,12960
